word,score
비싸다,4
효과,-3
저렴,-4
효율,-3
고정,-1
적당,-2
괜찮다,-2
부과,2
청구,2
무료,-5
좋으며,-3
비싸지,-3
저렴하지는,3
높다,4
성능,-3
비효율,3
없다,4
만족,-3
실망,4
비슷,-2
낮다,-4
가성비,-3
