word,score
가치,4
감동,5
감상,2
걸작,5
괜찮다,2
그림,3
그림같은,5
기쁘다,4
깊고,3
깊다,3
꿈,5
나쁘다,-4
놀랍다,4
눈부시다,4
다양,3
단순,-3
대표,1
독특,3
동화,3
마법,4
만족,4
매력,4
매료,5
매혹,4
멋지다,4
별로다,-5
별로다,-4
불행,-3
비슷,-2
새롭다,3
성스럽다,2
신비하다,2
신성한,2
실망,-4
아름답다,4
않다,-2
어렵다,-2
없다,-4
예쁘다,4
완벽,4
유명,3
장관,5
재미,4
적합,2
좋다,4
즐겁다,3
즐기다,3
최고,5
추억,3
추천,4
충격,5
파라다이스,5
행복,3
활기차다,2
후회,-5
훌륭,4
흥미,2
화려하다,3
천국,5
많다,4
굉장하다,4
