word,score
가치,4
감동,5
감상,2
걸작,4
괜찮다,2
그림,3
그림같은,3
기쁘다,4
꿈,5
나쁘다,-5
놀랍다,3
눈부시다,3
다양,3
단순,-3
대표,2
독특,2
동화,3
마법,3
만족,3
매력,4
매료,5
매혹,4
멋지다,4
별로다,-5
불행,-5
비슷,-3
새롭다,3
성스럽다,2
신비하다,2
실망,-5
아름답다,4
어렵다,-3
예쁘다,3
완벽,5
인내심,-3
장관,4
재미,5
적당,1
적합,2
좋다,4
좋아하다,4
즐겁다,5
즐기다,4
최고,5
추억,3
추천,4
충격,2
파라다이스,5
편리,1
행복,4
활기차다,3
후회,-4
훌륭,4
흥미,4
힘들다,-3
화려하다,3
천국,5
많다,4
굉장하다,3
